epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,100643,1.3431,0.67866,0.96093,0.55651,0.54459,0.50304,0.26976,1.03151,8.7039,0.71433,0.000849477,0.000849477,0.000849477
104,101616,1.31481,0.67108,0.95098,0.56073,0.54382,0.50399,0.27009,1.0314,8.68095,0.71434,0.000846674,0.000846674,0.000846674
105,102590,1.33088,0.67019,0.95143,0.56354,0.54326,0.50436,0.27065,1.03198,8.65893,0.71444,0.000843851,0.000843851,0.000843851
106,103565,1.32593,0.66611,0.9506,0.56382,0.54359,0.50481,0.27118,1.03282,8.64588,0.71479,0.000841006,0.000841006,0.000841006
107,104540,1.33174,0.68062,0.95291,0.55015,0.55742,0.50635,0.27248,1.03408,8.61826,0.71533,0.000838141,0.000838141,0.000838141
108,105505,1.32204,0.6749,0.95577,0.55313,0.55371,0.50634,0.27265,1.03252,8.58129,0.7148,0.000835255,0.000835255,0.000835255
109,106474,1.31822,0.66446,0.94506,0.55244,0.55763,0.50688,0.27295,1.03522,8.58429,0.71592,0.000832349,0.000832349,0.000832349
110,107450,1.31698,0.65804,0.9415,0.55298,0.55908,0.5077,0.27314,1.03538,8.57189,0.71613,0.000829423,0.000829423,0.000829423
111,108425,1.31416,0.66272,0.94539,0.56016,0.5509,0.50778,0.273,1.03559,8.60229,0.71614,0.000826477,0.000826477,0.000826477
112,109398,1.31218,0.65836,0.94549,0.55635,0.55487,0.50756,0.27298,1.03622,8.61047,0.7163,0.000823511,0.000823511,0.000823511
113,110372,1.3153,0.66923,0.95149,0.55506,0.55422,0.50677,0.27249,1.03586,8.61661,0.7165,0.000820525,0.000820525,0.000820525
114,111346,1.30369,0.64625,0.95139,0.55483,0.55399,0.50588,0.27191,1.03625,8.61996,0.71668,0.00081752,0.00081752,0.00081752
115,112319,1.31177,0.64991,0.94135,0.55272,0.55477,0.50506,0.27139,1.03728,8.61136,0.71721,0.000814495,0.000814495,0.000814495
116,113296,1.31251,0.66652,0.94545,0.55269,0.55333,0.50458,0.27097,1.0382,8.59935,0.71764,0.000811452,0.000811452,0.000811452
117,114269,1.30917,0.64984,0.94518,0.55412,0.55211,0.50427,0.27059,1.03914,8.55589,0.71806,0.000808389,0.000808389,0.000808389
118,115240,1.31795,0.66367,0.94721,0.55703,0.54762,0.50397,0.27038,1.03948,8.50031,0.71837,0.000805308,0.000805308,0.000805308
119,116217,1.29378,0.64369,0.93926,0.55661,0.54726,0.50381,0.27004,1.03999,8.4553,0.71838,0.000802208,0.000802208,0.000802208
120,117190,1.2974,0.64586,0.94099,0.55783,0.54702,0.50292,0.26961,1.03938,8.43756,0.71832,0.00079909,0.00079909,0.00079909
121,118157,1.30329,0.64392,0.95008,0.56079,0.54389,0.50183,0.26886,1.03907,8.43131,0.71843,0.000795954,0.000795954,0.000795954
