epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,84588.7,1.39222,0.69398,0.97802,0.50304,0.54151,0.43191,0.15015,1.33272,10.5078,0.86302,0.000936886,0.000936886,0.000936886
67,85867.2,1.39497,0.71228,0.97966,0.50151,0.54293,0.43179,0.14993,1.3328,10.5063,0.86302,0.000934973,0.000934973,0.000934973
68,87142.8,1.39715,0.71202,0.98498,0.50119,0.5426,0.43099,0.14954,1.33338,10.4792,0.86348,0.000933033,0.000933033,0.000933033
69,88418.6,1.37535,0.69232,0.98309,0.50334,0.54216,0.43171,0.14937,1.33328,10.4816,0.86373,0.000931067,0.000931067,0.000931067
70,89691.2,1.37316,0.68801,0.97738,0.50298,0.54326,0.43201,0.14914,1.33344,10.4933,0.86394,0.000929075,0.000929075,0.000929075
71,90967.3,1.38075,0.69536,0.97865,0.50324,0.54503,0.43237,0.14923,1.33425,10.4781,0.86411,0.000927057,0.000927057,0.000927057
72,92243.8,1.38223,0.69571,0.97554,0.50385,0.54592,0.43361,0.14962,1.33423,10.4289,0.86386,0.000925013,0.000925013,0.000925013
73,93521.3,1.38019,0.6874,0.98558,0.50505,0.54636,0.43395,0.14978,1.33364,10.3576,0.86348,0.000922942,0.000922942,0.000922942
74,94797.8,1.37613,0.70121,0.97706,0.50612,0.54547,0.43468,0.14998,1.33263,10.2981,0.86305,0.000920846,0.000920846,0.000920846
75,96075.2,1.37791,0.708,0.97587,0.50738,0.54358,0.43552,0.15018,1.33155,10.2367,0.86266,0.000918725,0.000918725,0.000918725
76,97355.3,1.36655,0.68725,0.97322,0.50925,0.54297,0.43777,0.15125,1.33026,10.1883,0.86191,0.000916577,0.000916577,0.000916577
77,98633.4,1.36625,0.69286,0.97414,0.51178,0.54216,0.43973,0.15178,1.33122,10.1393,0.86216,0.000914405,0.000914405,0.000914405
78,99914,1.36934,0.69038,0.9766,0.51396,0.54216,0.44104,0.15216,1.3308,10.1355,0.86182,0.000912207,0.000912207,0.000912207
79,101194,1.36559,0.69138,0.97241,0.51627,0.54072,0.44139,0.15213,1.33114,10.0903,0.86193,0.000909984,0.000909984,0.000909984
80,102474,1.35804,0.67605,0.97247,0.51668,0.54193,0.44102,0.15218,1.33123,10.0567,0.86184,0.000907736,0.000907736,0.000907736
81,103754,1.36792,0.68201,0.98373,0.51688,0.54287,0.44218,0.1524,1.33161,10.0261,0.86194,0.000905463,0.000905463,0.000905463
